Date,Temperature,Humidity,WindSpeed,Rain
2024-01-01,29.6,40.7,19.4,Yes
2024-01-02,20.4,83.2,18.5,Yes
2024-01-03,24.1,80.9,17.0,No
2024-01-04,23.3,72.2,3.3,Yes
2024-01-05,31.0,56.0,9.7,No
2024-01-06,30.2,78.5,4.3,Yes
2024-01-07,33.4,46.7,8.0,Yes
2024-01-08,21.3,66.1,1.2,No
2024-01-09,26.3,67.2,7.6,No
2024-01-10,20.4,97.2,19.7,Yes
2024-01-11,23.3,92.6,5.3,No
2024-01-12,27.6,55.8,15.7,Yes
2024-01-13,20.4,70.0,9.1,Yes
2024-01-14,23.0,50.7,8.5,Yes
2024-01-15,29.7,94.8,19.1,No
2024-01-16,28.2,92.2,19.9,No
2024-01-17,23.3,57.9,11.1,Yes
2024-01-18,28.8,78.3,14.4,Yes
2024-01-19,32.1,76.5,3.1,Yes
2024-01-20,20.1,49.2,5.9,Yes
2024-01-21,32.1,85.8,19.4,No
2024-01-22,30.5,72.4,11.6,Yes
2024-01-23,25.1,86.7,10.8,Yes
2024-01-24,22.3,71.8,15.0,No
2024-01-25,34.4,40.0,1.1,No
2024-01-26,25.0,59.4,11.7,Yes
2024-01-27,21.4,41.2,10.1,No
2024-01-28,21.5,95.7,17.1,Yes
2024-01-29,32.7,92.7,3.1,Yes
2024-01-30,29.1,89.9,19.2,No
2024-01-31,32.1,58.5,1.6,Yes
2024-02-01,30.9,43.5,3.7,No
2024-02-02,28.0,92.7,11.9,Yes
2024-02-03,34.6,96.8,13.5,Yes
2024-02-04,25.7,45.1,4.7,No
2024-02-05,28.3,69.2,2.4,No
2024-02-06,32.4,44.2,17.8,No
2024-02-07,29.3,85.6,4.9,Yes
2024-02-08,32.9,86.0,11.9,Yes
2024-02-09,28.7,47.7,12.4,Yes
2024-02-10,30.6,68.5,8.4,Yes
2024-02-11,20.7,73.0,11.7,No
2024-02-12,23.4,55.9,10.5,No
2024-02-13,24.3,92.3,18.7,No
2024-02-14,21.2,65.4,4.1,Yes
2024-02-15,23.5,52.7,14.3,No
2024-02-16,21.5,72.4,4.8,No
2024-02-17,24.2,83.8,7.9,No
2024-02-18,29.5,52.1,13.4,No
2024-02-19,25.5,58.7,6.0,Yes
2024-02-20,25.6,99.7,6.3,Yes
2024-02-21,23.1,79.0,15.0,No
2024-02-22,24.0,66.3,1.5,Yes
2024-02-23,34.0,71.1,9.2,No
2024-02-24,29.7,47.3,20.0,Yes
2024-02-25,29.1,53.5,19.9,Yes
2024-02-26,22.6,60.3,1.5,No
2024-02-27,30.9,75.3,4.3,No
2024-02-28,22.5,53.8,5.3,No
2024-02-29,25.7,53.2,18.7,No
2024-03-01,34.8,44.3,17.6,Yes
2024-03-02,29.6,77.9,17.6,No
2024-03-03,28.4,53.7,7.4,Yes
2024-03-04,30.3,94.3,3.2,No
2024-03-05,32.6,91.6,16.7,Yes
2024-03-06,31.6,44.3,14.1,No
2024-03-07,23.4,54.3,12.2,Yes
2024-03-08,20.5,80.1,19.7,Yes
2024-03-09,24.7,52.9,13.1,No
2024-03-10,24.0,47.9,0.2,No
2024-03-11,23.2,96.1,16.3,Yes
2024-03-12,34.1,74.3,6.0,No
2024-03-13,33.1,68.4,13.3,No
2024-03-14,24.7,87.1,18.8,Yes
2024-03-15,29.8,88.4,2.7,No
2024-03-16,25.9,51.4,2.3,No
2024-03-17,33.7,45.8,2.1,No
2024-03-18,26.9,65.9,11.1,No
2024-03-19,24.0,65.4,5.4,No
2024-03-20,23.7,68.0,12.1,No
2024-03-21,28.4,83.7,14.4,Yes
2024-03-22,23.9,80.4,4.1,Yes
2024-03-23,28.8,99.0,12.7,No
2024-03-24,33.5,45.9,5.3,No
2024-03-25,26.0,64.2,9.8,Yes
2024-03-26,23.3,60.4,18.1,No
2024-03-27,35.0,91.7,16.9,No
2024-03-28,27.6,54.9,1.8,Yes
2024-03-29,21.4,51.4,8.5,No
2024-03-30,20.7,66.9,5.5,No
2024-03-31,21.6,65.3,0.1,Yes
2024-04-01,29.4,56.7,15.4,No
2024-04-02,31.9,55.0,12.7,No
2024-04-03,26.3,95.4,5.2,No
2024-04-04,21.0,66.6,14.8,No
2024-04-05,25.7,91.7,11.0,No
2024-04-06,34.9,73.0,8.6,Yes
2024-04-07,27.9,43.0,0.2,No
2024-04-08,34.6,100.0,1.5,Yes
2024-04-09,32.9,90.2,17.7,Yes
